nickname,VOD,CTW,lot,wafer,no_pixels,rows,cols,pixel,CMOS,target_chamber_depth,wg_to_chamber,spacer_open,micro_disk,DINF,filter,filter_50percent_WL,532nm_rejection,D2_anneal,epi,top_iris_file,aperture_file,wg_file,bottom_iris_file,micro_disk_file,large_chamber_file,medium_chamber_file,small_chamber_file,row_beg,row_end,col_beg,col_end
Starman,no,no,M91297,1,32K,64,512,n3,dog,xxx,-1,std,no,no,batch-A,567nm,860x,2hr,2.5um,HBEE3B8.csv,HBEE3A10.csv,HBEE3W11.csv,HBEE3B7.csv,udisk_spacer.csv,udisk_spacer.csv,udisk_spacer.csv,udisk_spacer.csv,319,383,0,513
Starman,no,no,M91297,6,32K,64,512,n3,Tier-1,xxx,58.3,std,no,no,batch-D,571nm,1160x,none,2.5um,HBEE3B8.csv,HBEE3A10.csv,HBEE3W11.csv,HBEE3B7.csv,udisk_spacer.csv,udisk_spacer.csv,udisk_spacer.csv,udisk_spacer.csv,319,383,0,513
Starman,no,no,M91297,10,32K,64,512,n3,Tier-1,xxx,41,std,yes,no,Starman-E,573nm,1600x,2hr,2.5um,HBEE5B12.csv,HBEE5A15.csv,HBEE5W17.csv,HBEE5B11i.csv,HBEE5D4i.csv,udisk_spacer.csv,udisk_spacer.csv,udisk_spacer.csv,319,383,0,513
Starman,no,no,M91297,13,32K,64,512,n3,dog,xxx,-1,std,no,no,batch-B,574nm,1600x,2hr,2.5um,HBEE3B8.csv,HBEE3A10.csv,HBEE3W11.csv,HBEE3B7.csv,udisk_spacer.csv,udisk_spacer.csv,udisk_spacer.csv,udisk_spacer.csv,319,383,0,513
Starman,no,no,M91297,14,32K,64,512,n3,dog,xxx,27,std,yes,no,Starman-F,580nm,3100x,2hr,2.5um,HBEE3B8.csv,HBEE3A10.csv,HBEE3W11.csv,HBEE3B7.csv,udisk_spacer.csv,udisk_spacer.csv,udisk_spacer.csv,udisk_spacer.csv,319,383,0,513
Starman,no,no,M91297,17,32K,64,512,n3,Tier-1,xxx,36,std,no,no,batch-B,574nm,1600x,2hr,2.5um,HBEE3B8.csv,HBEE3A10.csv,HBEE3W11.csv,HBEE3B7.csv,udisk_spacer.csv,udisk_spacer.csv,udisk_spacer.csv,udisk_spacer.csv,319,383,0,513
Starman,no,no,M91297,18,32K,64,512,n3,Tier-1,xxx,62.9,std,no,no,batch-D,571nm,1160x,none,2.5um,HBEE3B8.csv,HBEE3A10.csv,HBEE3W11.csv,HBEE3B7.csv,udisk_spacer.csv,udisk_spacer.csv,udisk_spacer.csv,udisk_spacer.csv,319,383,0,513
Starman,no,no,M91297,21,32K,64,512,n3,Tier-1,xxx,53.8,std,no,no,batch-D,571nm,1160x,none,2.5um,HBEE3B8.csv,HBEE3A10.csv,HBEE3W11.csv,HBEE3B7.csv,udisk_spacer.csv,udisk_spacer.csv,udisk_spacer.csv,udisk_spacer.csv,319,383,0,513
Starman,no,no,M91297,22,32K,64,512,n3,Tier-1,xxx,34,std,yes,no,Starman-H,568nm,1100x,2hr,2.5um,HBEE5B12.csv,HBEE5A15.csv,HBEE5W17.csv,HBEE5B11i.csv,HBEE5D4i.csv,udisk_spacer.csv,udisk_spacer.csv,udisk_spacer.csv,319,383,0,513
Starman,no,no,M91297,23,32K,64,512,n3,Tier-2,xxx,49,std,no,no,batch-C,573nm,1500x,none,2.5um,HBEE3B8.csv,HBEE3A10.csv,HBEE3W11.csv,HBEE3B7.csv,udisk_spacer.csv,udisk_spacer.csv,udisk_spacer.csv,udisk_spacer.csv,319,383,0,513
Viking,no,no,M97162,2,32K,64,512,n3,Tier-1,xxx,65,std,yes,no,Viking-F,574nm,1600x,2hr,2.5um,HBEE4B9.csv,HBEE5A13.csv,HBEE2W6.csv,BWNG1M4.csv,HBEE4D3i.csv,udisk_spacer.csv,udisk_spacer.csv,udisk_spacer.csv,319,383,0,513
